seurat_clusters,type,r
13,Endothelial cells (LEC),0.8358936692588352
12,Fibroblasts (FI.MTS15+),0.7467328101065158
14,B cells (B.MEM),0.5961826488660713
15,Epithelial cells (Ep.8wk.CEC.Sca1+),0.5131462500202532
20,Fibroblasts (FI),0.760884416613323
4,Macrophages (MF.11CLOSER.SALM3),0.6588388851832097
11,Tgd (Tgd.mat.VG1+VD6+),0.5879261294669907
9,Macrophages (MF.11CLOSER.SALM3),0.6169645002473974
0,DC (DC.8-4-11B+),0.624912230855724
19,Epithelial cells (Ep.5wk.MEC.Sca1+),0.5680411279035205
2,Macrophages (MF.11CLOSER.SALM3),0.6685074882931847
8,Macrophages (MF.11CLOSER.SALM3),0.6530256870520214
18,"r<0.5, unassigned",0.4537624158391561
1,Macrophages (MF.11CLOSER.SALM3),0.6848967336924645
5,DC (DC.8-4-11B+),0.6128979662099951
16,Macrophages (MF.11CLOSER.SALM3),0.6613990722255876
3,DC (DC.8-4-11B+),0.6190465222296511
6,DC (DC.8-4-11B+),0.592965153125643
17,DC (DC.8-),0.6776772543257561
10,Macrophages (MF.11CLOSER.SALM3),0.6662179697154532
7,DC (DC.8-),0.6616487132170858
